Date,"Nova School of Business and Economics"
2015-07,614
2015-08,675
2015-09,753
2015-10,703
2015-11,652
2015-12,641
2016-01,738
2016-02,756
2016-03,783
2016-04,840
2016-05,690
2016-06,601
2016-07,678
2016-08,666
2016-09,829
2016-10,744
2016-11,766
2016-12,638
2017-01,1007
2017-02,942
2017-03,1128
2017-04,774
2017-05,750
2017-06,638
2017-07,547
2017-08,624
2017-09,807
2017-10,876
2017-11,777
2017-12,634
2018-01,965
2018-02,939
2018-03,1096
2018-04,909
2018-05,872
2018-06,825
2018-07,894
2018-08,1163
2018-09,1418
2018-10,1287
2018-11,1064
2018-12,1027
2019-01,1330
2019-02,1276
2019-03,1450
2019-04,1267
2019-05,1343
2019-06,1084
2019-07,1077
2019-08,1227
2019-09,1390
2019-10,1436
2019-11,1317
2019-12,1173
2020-01,1605
2020-02,1382
2020-03,1202
2020-04,1397
2020-05,1450
2020-06,1160
2020-07,1062
2020-08,1010
2020-09,1417
2020-10,1372
2020-11,1312
2020-12,1151
2021-01,1546
2021-02,1512
2021-03,1675
2021-04,1344
2021-05,1386
2021-06,1210
2021-07,1153
2021-08,1392
2021-09,1672
2021-10,1602
2021-11,1386
2021-12,1190
2022-01,1643
2022-02,1473
2022-03,1394
2022-04,1267
2022-05,1231
2022-06,1372
2022-07,1257
